fid,ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,OBJECTID,ICESNAME_1,Ecoregion,AREA,PERCENTAGE,OBJECTID_1,ICESNAME_2,Shape_STAr,Shape_STLe,SubDivisio
"114","328",34A3,52.5,-41,53,-40,"3757","2402",34A3,Oceanic Northeast Atlantic,0.5,100,"0",34A3,0.4999999998,2.9999999994,"1"
"115","329",35A3,53,-41,53.5,-40,"3714","2461",35A3,Oceanic Northeast Atlantic,0.5,100,"0",35A3,0.4999999998,2.9999999994,"1"
"116","330",36A3,53.5,-41,54,-40,"3671","2523",36A3,Oceanic Northeast Atlantic,0.5,100,"0",36A3,0.4999999998,2.9999999994,"1"
"117","331",37A3,54,-41,54.5,-40,"3628","2593",37A3,Oceanic Northeast Atlantic,0.5,100,"0",37A3,0.4999999998,2.9999999994,"1"
"118","332",38A3,54.5,-41,55,-40,"3584","2664",38A3,Oceanic Northeast Atlantic,0.5,100,"0",38A3,0.4999999998,2.9999999994,"1"
"119","333",39A3,55,-41,55.5,-40,"3540","2735",39A3,Oceanic Northeast Atlantic,0.5,100,"0",39A3,0.4999999998,2.9999999994,"1"
"120","334",40A3,55.5,-41,56,-40,"3496","2806",40A3,Oceanic Northeast Atlantic,0.5,100,"0",40A3,0.4999999998,2.9999999994,"1"
"121","335",41A3,56,-41,56.5,-40,"3451","2882",41A3,Oceanic Northeast Atlantic,0.5,100,"0",41A3,0.4999999998,2.9999999994,"1"
"122","336",42A3,56.5,-41,57,-40,"3406","2963",42A3,Oceanic Northeast Atlantic,0.39840169,79.68033804,"0",42A3,0.5000000007,3.0000000012,"1"
"123","337",43A3,57,-41,57.5,-40,"3361","3039",43A3,Greenland Sea,0.49779082,99.55816321,"0",43A3,0.4999999998,2.9999999994,"3"
"124","338",44A3,57.5,-41,58,-40,"3316","3118",44A3,Greenland Sea,0.5,100,"0",44A3,0.4999999998,2.9999999994,"3"
"125","339",45A3,58,-41,58.5,-40,"3270","3196",45A3,Greenland Sea,0.5,100,"0",45A3,0.4999999998,2.9999999994,"3"
"126","340",46A3,58.5,-41,59,-40,"3224","3273",46A3,Greenland Sea,0.5,100,"0",46A3,0.4999999998,2.9999999994,"3"
"127","341",47A3,59,-41,59.5,-40,"3178","3353",47A3,Greenland Sea,0.5,100,"0",47A3,0.4999999998,2.9999999994,"2"
"128","342",48A3,59.5,-41,60,-40,"3132","3433",48A3,Greenland Sea,0.5,100,"0",48A3,0.4999999998,2.9999999994,"2"
"129","343",49A3,60,-41,60.5,-40,"3085","3518",49A3,Greenland Sea,0.5,100,"0",49A3,0.4999999998,2.9999999994,"2"
