ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,OBJECTID,ICESNAME_1,Ecoregion,AREA,PERCENTAGE,OBJECTID_1,ICESNAME_2,Shape_STAr,Shape_STLe,Longitude,Latitude
"335",41A3,56.00000,-41.00000,56.50000,-40.00000,"3451","2882",41A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",41A3,0.49999999980,2.99999999940,-40.500,56.250
"336",42A3,56.50000,-41.00000,57.00000,-40.00000,"3406","2963",42A3,Oceanic Northeast Atlantic,0.39840169,79.68033804,"0",42A3,0.50000000070,3.00000000120,-40.500,56.750
"337",43A3,57.00000,-41.00000,57.50000,-40.00000,"3361","3039",43A3,Greenland Sea,0.49779082,99.55816321,"0",43A3,0.49999999980,2.99999999940,-40.500,57.250
"338",44A3,57.50000,-41.00000,58.00000,-40.00000,"3316","3118",44A3,Greenland Sea,0.50000000,100.00000000,"0",44A3,0.49999999980,2.99999999940,-40.500,57.750
"339",45A3,58.00000,-41.00000,58.50000,-40.00000,"3270","3196",45A3,Greenland Sea,0.50000000,100.00000000,"0",45A3,0.49999999980,2.99999999940,-40.500,58.250
"340",46A3,58.50000,-41.00000,59.00000,-40.00000,"3224","3273",46A3,Greenland Sea,0.50000000,100.00000000,"0",46A3,0.49999999980,2.99999999940,-40.500,58.750
"341",47A3,59.00000,-41.00000,59.50000,-40.00000,"3178","3353",47A3,Greenland Sea,0.50000000,100.00000000,"0",47A3,0.49999999980,2.99999999940,-40.500,59.250
"342",48A3,59.50000,-41.00000,60.00000,-40.00000,"3132","3433",48A3,Greenland Sea,0.50000000,100.00000000,"0",48A3,0.49999999980,2.99999999940,-40.500,59.750
"343",49A3,60.00000,-41.00000,60.50000,-40.00000,"3085","3518",49A3,Greenland Sea,0.50000000,100.00000000,"0",49A3,0.49999999980,2.99999999940,-40.500,60.250
"344",50A3,60.50000,-41.00000,61.00000,-40.00000,"3038","3615",50A3,Greenland Sea,0.50000000,100.00000000,"0",50A3,0.49999999980,2.99999999940,-40.500,60.750
"345",51A3,61.00000,-41.00000,61.50000,-40.00000,"2991","3698",51A3,Greenland Sea,0.50000000,100.00000000,"0",51A3,0.50000000070,3.00000000120,-40.500,61.250
"346",52A3,61.50000,-41.00000,62.00000,-40.00000,"2944","3778",52A3,Greenland Sea,0.50000000,100.00000000,"0",52A3,0.49999999980,2.99999999940,-40.500,61.750
"347",53A3,62.00000,-41.00000,62.50000,-40.00000,"2896","3857",53A3,Greenland Sea,0.50000000,100.00000000,"0",53A3,0.49999999980,2.99999999940,-40.500,62.250
"348",54A3,62.50000,-41.00000,63.00000,-40.00000,"2848","3954",54A3,Greenland Sea,0.50000000,100.00000000,"0",54A3,0.49999999980,2.99999999940,-40.500,62.750
"349",55A3,63.00000,-41.00000,63.50000,-40.00000,"2800","4050",55A3,Greenland Sea,0.50000000,100.00000000,"0",55A3,0.49999999980,2.99999999940,-40.500,63.250
"350",56A3,63.50000,-41.00000,64.00000,-40.00000,"2752","4149",56A3,Greenland Sea,0.50000000,100.00000000,"0",56A3,0.49999999980,2.99999999940,-40.500,63.750
"351",57A3,64.00000,-41.00000,64.50000,-40.00000,"2703","4246",57A3,Greenland Sea,0.50000000,100.00000000,"0",57A3,0.49999999980,2.99999999940,-40.500,64.250
"352",58A3,64.50000,-41.00000,65.00000,-40.00000,"2654","4344",58A3,Greenland Sea,0.50000000,100.00000000,"0",58A3,0.49999999980,2.99999999940,-40.500,64.750
"353",59A3,65.00000,-41.00000,65.50000,-40.00000,"2605","4444",59A3,Greenland Sea,0.50000000,100.00000000,"0",59A3,0.49999999980,2.99999999940,-40.500,65.250
"393",01B0,36.00000,-40.00000,36.50000,-39.00000,"4987","3",01B0,Oceanic Northeast Atlantic,0.49999999,99.99999700,"0",01B0,0.49999999980,2.99999999940,-39.500,36.250
"394",02B0,36.50000,-40.00000,37.00000,-39.00000,"4955","96",02B0,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",02B0,0.49999999980,2.99999999940,-39.500,36.750
"395",03B0,37.00000,-40.00000,37.50000,-39.00000,"4923","185",03B0,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",03B0,0.49999999980,2.99999999940,-39.500,37.250
"396",04B0,37.50000,-40.00000,38.00000,-39.00000,"4891","271",04B0,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",04B0,0.49999999980,2.99999999940,-39.500,37.750
